"","x"
"1",7.0301109627274
"2",8.72810135583373
"3",9.50751428374297
"4",9.2074005117742
"5",10.253968636799
"6",7.80291723357122
"7",7.39233502515367
"8",4.98297311049031
"9",4.69070814843733
"10",5.95879619689599
"11",5.75573337356336
"12",4.44296170944866
"13",2.4063743605257
"14",3.31275519922371
"15",3.91597668076895
"16",7.75949814955538
"17",8.01943470654524
"18",8.33280027658069
"19",7.86987913481092
"20",9.25781197689087
"21",10.3430956580715
"22",9.31892413662856
"23",10.6087319800032
"24",12.6737227616077
"25",11.7925705659044
"26",11.6700898017527
"27",10.2273765899397
"28",11.5403101400285
"29",12.5752063960164
"30",14.3714607217111
"31",12.8774475672484
"32",11.8493182707998
"33",11.7683897577224
"34",13.3216080169448
"35",12.6717720582356
"36",12.3587825508798
"37",13.8708385458573
"38",11.5206417674572
"39",12.1717307628278
"40",12.6106919672706
"41",11.4130758774774
"42",10.7500541554098
"43",9.37583064290086
"44",6.3579994055729
"45",4.18383694423695
"46",6.2239524945466
"47",6.95655257477005
"48",7.94412112594647
"49",7.90043477777224
"50",10.4685427762552
"51",9.23240861178859
"52",9.3537786230958
"53",10.8895889463338
"54",11.0122261441947
"55",10.6136361517223
"56",11.6917457041719
"57",11.5920243970453
"58",14.4681754308039
"59",13.4492329657222
"60",14.3157402162517
"61",14.0974217572818
"62",14.230314398583
"63",13.849100877804
"64",15.2176152734478
"65",14.2837730311481
"66",12.7397889537187
"67",14.1017149210928
"68",14.3762385307248
"69",13.7076223307646
"70",13.5254806069743
"71",14.8750917345321
"72",14.123428749991
"73",13.5150143478111
"74",12.6501606447044
"75",13.5527430088012
"76",11.3996413437216
"77",10.9437505197882
"78",13.4827212196278
"79",16.2150402877766
"80",16.4347357019873
"81",16.1927172113674
"82",15.3647242669859
"83",13.4671848972422
"84",12.1974361756225
"85",10.853350725181
"86",12.485580245606
"87",13.2519285187082
"88",12.4211507386415
"89",13.2879391038099
"90",11.8647569300451
"91",13.2631066468678
"92",15.6355746233907
"93",15.4669897231932
"94",13.3286956496248
"95",12.4090110364376
"96",13.896407883713
"97",15.2639489433352
"98",13.6983452070721
"99",13.2243694573311
"100",13.3420913761698
"101",13.2231860602111
"102",11.7868015477144
"103",12.5177091577299
"104",11.4984411331155
"105",11.0955655769536
"106",10.9388570717633
"107",13.3345106787409
"108",12.5292556934998
"109",12.7263267033804
"110",12.2437601825282
"111",11.7503302446252
"112",12.7231601795358
"113",10.1570352393754
"114",10.233570918476
"115",9.06544998178577
"116",11.2345165419425
"117",10.2884251071498
"118",7.41581797486637
"119",7.57192787779374
"120",7.85044791469823
"121",7.60072327831154
"122",9.13332669684992
"123",9.64729181620808
"124",9.26509958266145
"125",7.59639004698609
"126",7.14364517345991
"127",6.85309440656555
"128",5.48621148404245
"129",5.76524127701582
"130",7.74318768931958
"131",8.50775104008998
"132",7.61445456177989
"133",9.66194516378376
"134",9.38344618638803
"135",8.67321773491482
"136",7.71868598522832
"137",6.21368707597393
"138",5.0278340705428
"139",9.26495541383805
"140",10.603762905361
"141",11.0427489437815
"142",9.48717754864596
"143",9.64619388480722
"144",8.90115810487817
