"","x"
"1",7.88300214972969
"2",8.48653609593292
"3",6.87611788864164
"4",7.12861603393786
"5",7.40672024784528
"6",3.35319298451117
"7",4.29188146420257
"8",6.36984256110038
"9",5.09976443815582
"10",5.37194403816913
"11",6.5802341674667
"12",5.31082361433795
"13",5.14592160778146
"14",5.20974204646753
"15",7.66972994895292
"16",5.77932581068777
"17",5.75868437308198
"18",4.75153495690468
"19",4.25094281161072
"20",6.47440775770661
"21",8.61958912003663
"22",10.6757524861745
"23",11.1627274974961
"24",11.6259345901238
"25",13.3252268044568
"26",12.5983785460247
"27",9.34793146408932
"28",8.8884758856123
"29",10.2855113407451
"30",11.2371435617463
"31",12.4400051749185
"32",11.9772689400339
"33",12.4238588998544
"34",11.5786605095318
"35",13.3889493910195
"36",13.3957379451905
"37",10.1813508954629
"38",11.4006929247051
"39",8.88471585917871
"40",5.23466211407272
"41",7.11451049757481
"42",6.36622590595506
"43",7.45324554771388
"44",6.64464133340717
"45",4.27612136175491
"46",2.87830789100005
"47",3.73976635564195
"48",2.95366083676236
"49",1.92760395922733
"50",3.12953589033488
"51",4.46488073237642
"52",6.93350449508088
"53",8.88121120026185
"54",10.2265864381086
"55",8.32180412441128
"56",9.22232992405744
"57",9.18275074461708
"58",8.83621908514476
"59",8.88073625691508
"60",9.94356572798052
"61",8.76752517966023
"62",7.19266586075786
"63",6.50619327314027
"64",6.97753919824461
"65",6.99377196806523
"66",8.05447909705794
"67",6.12247607377104
"68",5.89656552749282
"69",4.47862557625161
"70",6.18886384930899
"71",6.57836789567493
"72",5.79156376056267
"73",3.89305132259859
"74",2.60572296510052
"75",5.25018761249985
"76",5.03796861278254
"77",5.36722726776556
"78",7.4981945467222
"79",5.82619430441171
"80",7.33510481633038
"81",9.65047986020803
"82",6.08567859913109
"83",9.28603939305191
"84",11.5653486828836
"85",9.50598780618386
"86",8.07951874676769
"87",4.62481322086289
"88",4.80307640413985
"89",4.62991653326703
"90",4.28548151968196
"91",5.23697630185311
"92",5.60126391944884
"93",5.23185727196347
"94",3.58756266799329
"95",3.96969712044275
"96",5.43243735474117
"97",8.19975999947975
"98",7.5233321642169
"99",8.23005525873142
"100",10.2415083675123
"101",9.76741547940611
"102",10.6524400766382
"103",10.2905816256211
"104",11.5125428348386
"105",13.0228401872784
"106",10.6490445594153
"107",11.5765533643557
"108",12.0437519941228
"109",9.27542507631948
"110",8.35079993715794
"111",7.55251757778545
"112",7.30694686081493
"113",8.00117501993835
"114",6.50103626181069
"115",6.64927522503506
"116",7.29950989269433
"117",5.73261700115717
"118",9.15810326321556
"119",7.38114654840783
"120",5.61013222927946
"121",4.20498720613498
"122",2.86453884708483
"123",3.32544135205347
"124",4.83693776366672
"125",3.6423073448962
"126",4.79251676069399
"127",3.40637454521388
"128",5.53532516050648
"129",3.96065191653191
"130",6.22999518494542
"131",8.800698398439
"132",9.86301478353339
"133",10.3123803325341
"134",8.65276827615988
"135",6.62362248437863
"136",7.52112084743661
"137",6.71864529058504
"138",6.9025619999363
"139",6.45266954124268
"140",7.29062779693892
"141",5.5772297189449
"142",4.31514831224337
"143",6.10393221509328
"144",7.67885444511831
