"","x"
"1",5.97022915063133
"2",5.42733238949382
"3",6.16709146409923
"4",6.34539713494051
"5",7.75447270365178
"6",9.25686084005
"7",12.6396041882831
"8",13.0703125952902
"9",9.91479406152176
"10",10.1813531402099
"11",11.8291133045525
"12",10.9137348343293
"13",10.0876065565585
"14",8.27375103737079
"15",6.70099542292989
"16",6.61042399732687
"17",6.92948544355893
"18",5.36089082480492
"19",6.17184556092461
"20",7.23528829773037
"21",7.59966916096929
"22",8.90732528652082
"23",9.65807082297907
"24",8.56059904970723
"25",9.75688235448472
"26",7.78195564869192
"27",8.68797692608508
"28",10.4848947931477
"29",12.1506382391789
"30",12.5603060546754
"31",8.88099667752627
"32",10.7201679340751
"33",12.0361882942475
"34",12.5771975119318
"35",12.4343773914777
"36",13.0612228064917
"37",12.2832822890075
"38",10.5552332158591
"39",10.8061982258054
"40",10.9373321552927
"41",11.1755554269609
"42",9.25071979337077
"43",9.68515743904803
"44",9.01562441240461
"45",8.56820591403008
"46",10.7621003848706
"47",12.5983662202013
"48",12.5102522297735
"49",9.8979786773932
"50",8.40371390649095
"51",8.72064436861163
"52",9.6906903125221
"53",9.88823431659236
"54",10.3665435269378
"55",12.7585289755449
"56",15.1825219782897
"57",13.2901591507539
"58",14.801764278949
"59",14.2192442539711
"60",12.9462364847216
"61",11.163236790417
"62",12.2240193427688
"63",10.5409447591944
"64",12.0963810455161
"65",12.2902478486086
"66",11.3530855814789
"67",12.3723599257979
"68",12.3773185779472
"69",12.2621898124031
"70",9.58368867593251
"71",9.64096297634748
"72",7.57827234192956
"73",7.89680251441648
"74",10.4781103935344
"75",10.1040062005874
"76",11.834951243536
"77",13.4859649776721
"78",13.2238464463192
"79",12.9308708559985
"80",12.3921219191673
"81",12.7088638730824
"82",13.3361099341535
"83",15.3146621325552
"84",15.2645097714909
"85",12.0414851487677
"86",12.0939992345904
"87",11.0604011628349
"88",7.48990777929509
"89",7.28827614364877
"90",5.24102532163731
"91",4.96132031470048
"92",5.82860708547747
"93",8.91626694506835
"94",6.63574594916264
"95",6.52711918887226
"96",3.98314453256646
"97",5.8059903797355
"98",4.75540061034314
"99",3.5156778670047
"100",3.52377398325673
"101",4.94053944438952
"102",4.54308633889837
"103",6.09857378790634
"104",6.78202592043758
"105",6.3407339583571
"106",7.51658571922674
"107",9.44691532883225
"108",7.86285529899539
"109",7.03821750764908
"110",8.59806554456633
"111",8.27171163532511
"112",7.55378373991725
"113",8.56711343240126
"114",7.19011146325101
"115",7.60517750992293
"116",7.653700705754
"117",7.69413720802434
"118",8.00640343697906
"119",5.39619339022
"120",5.04639753341752
"121",6.73166565111412
"122",6.85818445780662
"123",6.90814529316952
"124",7.4626374495947
"125",9.56248589702348
"126",8.64216359230464
"127",10.253075994663
"128",10.0665690038945
"129",12.104507740117
"130",12.215564495699
"131",13.3136066557296
"132",16.1108020716269
"133",15.3302873441841
"134",14.5179675036707
"135",13.1562350788555
"136",12.8489005673472
"137",12.0928199216945
"138",12.1348201464605
"139",9.63372610055129
"140",11.0470333834793
"141",12.0444977807212
"142",10.0162285899404
"143",11.8277823340856
"144",11.1336456251755
