"","x"
"1",8.84
"2",7.24588841211085
"3",7.10892929726352
"4",7.26151272878383
"5",9.63430102210916
"6",11.1366662719424
"7",11.8334170040897
"8",13.1860924425514
"9",10.1559071786086
"10",12.9334826576092
"11",13.1719839148922
"12",15.2266614814947
"13",15.9627815682629
"14",16.0428235160087
"15",15.4294519379918
"16",12.5167402826944
"17",13.355301440472
"18",14.0230105491733
"19",14.1696662426612
"20",13.4955789216556
"21",14.4666217967435
"22",14.5472957478373
"23",13.1516557427232
"24",14.2995099705334
"25",13.2678352207158
"26",13.7031070736341
"27",14.8706182335536
"28",14.8162722960203
"29",15.4022850932902
"30",16.9655325640026
"31",16.7663689740871
"32",14.6022083664531
"33",12.7113037289245
"34",11.7175654557746
"35",9.81851126795152
"36",9.25899262739278
"37",10.595113969339
"38",12.3774241546772
"39",12.5638078843692
"40",13.1909678418535
"41",11.4539098848271
"42",10.3655246534862
"43",9.911158666279
"44",11.6047201612925
"45",11.0447048112739
"46",15.1118940683791
"47",15.9903557985477
"48",14.9684776939763
"49",15.307853514737
"50",15.4416759195199
"51",14.8102504933655
"52",15.2489854111463
"53",14.6574161859846
"54",12.8676248749983
"55",10.0240780348556
"56",8.58001262120389
"57",9.65739628446918
"58",9.72203497635508
"59",9.9718740109705
"60",11.1437801970145
"61",12.4423853068714
"62",11.3453020031286
"63",10.6509250476601
"64",12.4807131976453
"65",12.1542178848561
"66",13.6123833235306
"67",11.5964211245414
"68",9.94162701637648
"69",10.9055298375973
"70",10.5995639493116
"71",13.1082456896589
"72",13.8485043561853
"73",13.7255778326165
"74",14.3451785329018
"75",12.1347378678931
"76",12.9954425990983
"77",11.521722979895
"78",11.0220529636947
"79",10.2944202621326
"80",9.28875048573939
"81",7.97610826367458
"82",7.28723114310673
"83",8.13577751125922
"84",8.75455750410046
"85",10.7987870853569
"86",12.6265066014917
"87",11.0002876029375
"88",10.1023762591756
"89",10.7058494415384
"90",12.6185868608655
"91",12.6294716500225
"92",12.2341111557958
"93",11.8291978240193
"94",12.9855867272669
"95",12.4491300925966
"96",13.4935660024894
"97",10.9255077087639
"98",12.0716777679888
"99",12.2029113904416
"100",10.3638601268057
"101",9.06106917393142
"102",8.85011683464296
"103",7.67997961050003
"104",6.82927128700637
"105",7.48660872905191
"106",8.84962738718037
"107",9.07760635346302
"108",9.84329725607592
"109",8.83827311517212
"110",7.56007751765102
"111",8.58795401481105
"112",8.50298449216172
